Figure Name,Food Items ,Portion Size (g),Error Checking ==>,Food Items Count,Portion Count,Equals
e156,"Broccoli,Chives,Jujube,Apple","38,2,8,110",,4,4,True
e157,"Broccoli,Chives,Jujube,Apple","38,2,16,110",,4,4,True
e158,"Clementine,Broccoli,Chives,Jujube,Apple","35,38,2,16,110",,5,5,True
e159,"Clementine,Broccoli,Chives,Jujube","35,38,2,16",,4,4,True
v001,"Chicken Breast,Cantaloupe,Honeydew","287,80,168",,3,3,True
v002,Bread,30,,1,1,True
v003,Grapes,25,,1,1,True
v004,Grapes,25,,1,1,True
v005,Grapes,25,,1,1,True
v006,Grapes,25,,1,1,True
v007,"Bread,Cantaloupe,Grapes","30,168,41",,3,3,True
v008,"Bread,Cantaloupe,Grapes","30,168,41",,3,3,True
v009,"Bread,Cantaloupe,Grapes","30,168,41",,3,3,True
v010,"Bread,Cantaloupe,Grapes","58,168,41",,3,3,True
v011,"Bread,Cantaloupe,Grapes","58,168,41",,3,3,True
v012,"Bread,Cantaloupe,Grapes","58,168,41",,3,3,True
v013,Bread,30,,1,1,True
v014,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v015,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v016,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v017,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v018,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v019,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v020,"Bread,Cantaloupe,Grapes,Strawberries","58,168,41,36",,4,4,True
v021,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v022,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v023,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v024,Bread,58,,1,1,True
v025,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple","58,168,41,36,65",,5,5,True
v026,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast","58,168,41,36,65,125",,6,6,True
v027,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast","58,168,41,36,65,125",,6,6,True
v028,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast","58,168,41,36,65,125",,6,6,True
v029,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast,Honeydew","58,168,41,36,65,125,80",,7,7,True
v030,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast,Honeydew","58,168,41,36,65,125,80",,7,7,True
v031,"Bread,Cantaloupe,Grapes,Strawberries,Pineapple,Chicken Breast,Honeydew","58,168,41,36,65,125,80",,7,7,True
v032,"Bread,Grapes,Chicken Breast","58,41,287",,3,3,True
v033,"Bread,Grapes,Chicken Breast","58,41,287",,3,3,True
v034,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v035,Bread,58,,1,1,True
v036,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v037,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v038,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v039,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v040,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v041,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v042,"Bread,Grapes,Chicken Breast,Honeydew","58,41,287,80",,4,4,True
v043,Chicken Breast,125,,1,1,True
v044,Chicken Breast,125,,1,1,True
v045,Chicken Breast,125,,1,1,True
v046,Bread,58,,1,1,True
v047,Chicken Breast,125,,1,1,True
v048,Chicken Breast,125,,1,1,True
v049,Chicken Breast,125,,1,1,True
v050,Chicken Breast,125,,1,1,True
v051,Chicken Breast,125,,1,1,True
v052,Chicken Breast,287,,1,1,True
v053,Chicken Breast,287,,1,1,True
v054,Chicken Breast,287,,1,1,True
v055,Chicken Breast,287,,1,1,True
v056,Chicken Breast,287,,1,1,True
v057,Bread,58,,1,1,True
v058,Chicken Breast,287,,1,1,True
v059,Chicken Breast,287,,1,1,True
v060,Chicken Breast,287,,1,1,True
v061,Chicken Breast,287,,1,1,True
v062,Chicken Breast,287,,1,1,True
v063,"Chicken Breast,Blueberries,Strawberries","287,21,36",,3,3,True
v064,"Chicken Breast,Blueberries,Strawberries","287,21,36",,3,3,True
v065,"Chicken Breast,Blueberries,Strawberries,Grapes","287,21,36,41",,4,4,True
v066,"Chicken Breast,Blueberries,Strawberries,Grapes","287,21,36,41",,4,4,True
v067,"Chicken Breast,Blueberries,Strawberries,Grapes","287,21,36,41",,4,4,True
v068,Blueberries,10,,1,1,True
v069,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread","287,21,36,41,30",,5,5,True
v070,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,30,65",,6,6,True
v071,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,30,65",,6,6,True
v072,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,30,65",,6,6,True
v073,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,58,65",,6,6,True
v074,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,58,65",,6,6,True
v075,"Chicken Breast,Blueberries,Strawberries,Grapes,Bread,Pineapple","287,21,36,41,58,65",,6,6,True
v076,"Chicken Breast,Blueberries,Strawberries,Honeydew,Bread,Pineapple       ","162,21,36,80,58,65",,6,6,True
v077,"Chicken Breast,Blueberries,Strawberries,Honeydew,Bread,Pineapple       ","162,21,36,80,58,65",,6,6,True
v078,"Chicken Breast,Strawberries,Honeydew,Bread","162,36,80,58",,4,4,True
v079,Blueberries,10,,1,1,True
v080,"Chicken Breast,Strawberries,Honeydew,Bread","162,36,80,58",,4,4,True
v081,"Chicken Breast,Honeydew,Bread","162,80,58",,3,3,True
v082,"Chicken Breast,Strawberries,Bread","162,36,58",,3,3,True
v083,"Chicken Breast,Strawberries","162,36",,2,2,True
v084,"Chicken Breast,Strawberries","162,36",,2,2,True
v085,"Chicken Breast,Strawberries,Bread","162,20,30",,3,3,True
v086,"Chicken Breast,Strawberries,Bread","162,20,30",,3,3,True
v087,"Chicken Breast,Strawberries,Bread","162,20,30",,3,3,True
v088,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v089,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v090,Blueberries,10,,1,1,True
v091,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v092,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v093,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v094,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v095,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v096,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v097,"Chicken Breast,Strawberries,Bread,Pineapple","162,20,30,65",,4,4,True
v098,"Chicken Breast,Strawberries,Bread,Cantaloupe","162,20,30,56",,4,4,True
v099,"Chicken Breast,Strawberries,Bread,Cantaloupe","162,20,30,56",,4,4,True
v100,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","162,20,30,56,80",,5,5,True
v101,Blueberries,10,,1,1,True
v102,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","162,20,30,56,80",,5,5,True
v103,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","162,20,30,56,80",,5,5,True
v104,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,30,56,80",,5,5,True
v105,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,30,56,80",,5,5,True
v106,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,30,56,80",,5,5,True
v107,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,58,56,80",,5,5,True
v108,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,58,56,80",,5,5,True
v109,"Chicken Breast,Strawberries,Bread,Cantaloupe,Honeydew","287,20,58,56,80",,5,5,True
v110,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v111,Bread,30,,1,1,True
v112,Blueberries,10,,1,1,True
v113,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v114,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v115,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v116,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v117,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v118,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v119,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v120,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v121,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v122,"Chicken Breast,Cantaloupe,Honeydew","287,56,80",,3,3,True
v123,Blueberries,21,,1,1,True
v124,Blueberries,21,,1,1,True
v125,Blueberries,21,,1,1,True
v126,Blueberries,21,,1,1,True
v127,Strawberries,20,,1,1,True
v128,Strawberries,20,,1,1,True
v129,Strawberries,20,,1,1,True
v130,Strawberries,36,,1,1,True
v131,Strawberries,36,,1,1,True
v132,Bread,58,,1,1,True
v133,Strawberries,36,,1,1,True
v134,Strawberries,36,,1,1,True
v135,Strawberries,36,,1,1,True
v136,Strawberries,36,,1,1,True
v137,Strawberries,36,,1,1,True
v138,Cantaloupe,26,,1,1,True
v139,Cantaloupe,26,,1,1,True
v140,Cantaloupe,26,,1,1,True
v141,Cantaloupe,26,,1,1,True
v142,Cantaloupe,26,,1,1,True
v143,Bread,58,,1,1,True
v144,Cantaloupe,26,,1,1,True
v145,Cantaloupe,76,,1,1,True
v146,Cantaloupe,76,,1,1,True
v147,Cantaloupe,76,,1,1,True
v148,Cantaloupe,76,,1,1,True
v149,Cantaloupe,76,,1,1,True
v150,Cantaloupe,76,,1,1,True
v151,Cantaloupe,76,,1,1,True
v152,Cantaloupe,168,,1,1,True
v153,Cantaloupe,168,,1,1,True
v154,Bread,30,,1,1,True
v155,Cantaloupe,168,,1,1,True
v156,Cantaloupe,168,,1,1,True
v157,Cantaloupe,168,,1,1,True
v158,Cantaloupe,168,,1,1,True
v159,Cantaloupe,168,,1,1,True
v160,Cantaloupe,168,,1,1,True
v161,"Cantaloupe,Blueberries","168,21",,2,2,True
v162,"Cantaloupe,Blueberries,Bread","168,21,30",,3,3,True
v163,"Cantaloupe,Blueberries,Bread","168,21,30",,3,3,True
v164,"Cantaloupe,Blueberries,Bread","168,21,30",,3,3,True
v165,Bread,58,,1,1,True
v166,"Cantaloupe,Blueberries,Bread","168,21,58",,3,3,True
v167,"Cantaloupe,Blueberries,Bread","168,21,58",,3,3,True
v168,"Cantaloupe,Blueberries,Bread","168,21,58",,3,3,True
v169,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v170,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v171,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v172,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v173,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v174,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v175,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v176,Bread,58,,1,1,True
v177,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v178,"Cantaloupe,Blueberries,Bread,Strawberries","168,21,58,36",,4,4,True
v179,Honeydew,56,,1,1,True
v180,Honeydew,56,,1,1,True
v181,Honeydew,56,,1,1,True
v182,Honeydew,56,,1,1,True
v183,Honeydew,56,,1,1,True
v184,Honeydew,56,,1,1,True
v185,Honeydew,56,,1,1,True
v186,Pineapple,65,,1,1,True
v187,Bread,58,,1,1,True
v188,Pineapple,65,,1,1,True
v189,Pineapple,65,,1,1,True
v190,Pineapple,65,,1,1,True
v191,Pineapple,65,,1,1,True
v192,Pineapple,65,,1,1,True
v193,Pineapple,43,,1,1,True
v194,Pineapple,43,,1,1,True
v195,Pineapple,43,,1,1,True
v196,Pineapple,43,,1,1,True
v197,Pineapple,43,,1,1,True
v198,Bread,58,,1,1,True
v199,Grapes,41,,1,1,True
v200,Grapes,41,,1,1,True
v201,Grapes,41,,1,1,True
v202,Grapes,41,,1,1,True
v203,Grapes,41,,1,1,True
v204,Grapes,41,,1,1,True
v205,Grapes,41,,1,1,True
v206,Grapes,25,,1,1,True
v207,Grapes,25,,1,1,True
v208,Grapes,25,,1,1,True
e160,Egg,38,,1,1,True
e161,Egg,38,,1,1,True
e162,Egg,38,,1,1,True
e163,Egg,38,,1,1,True
e164,Egg,40,,1,1,True
e165,Egg,40,,1,1,True
e166,Egg,40,,1,1,True
e167,Egg,40,,1,1,True
e168,Egg,37,,1,1,True
e169,Egg,37,,1,1,True
e170,Egg,36,,1,1,True
e171,Egg,36,,1,1,True
y001,Apple,211,,1,1,True
y002,Apple ,186,,1,1,True
y003,Apple,397,,1,1,True
y004,Apple,397,,1,1,True
y005,Apple,186,,1,1,True
y006,Banana,212,,1,1,True
y007,"Banana,Apple","212,186",,2,2,True
y008,"Banana,Apple,Orange","212,186,182",,3,3,True
y009,"Banana,Apple","212,397",,2,2,True
y010,"Banana,Apple","212,397",,2,2,True
y011,"Banana,Apple","212,397",,2,2,True
y012,"Banana,Apple,Orange","212,397,182",,3,3,True
y013,Orange,231,,1,1,True
y014,"Apple,Orange","231,211",,2,2,True
y015,"Banana,Apple,Orange","212,397,231",,3,3,True
y016,"Orange,Apple,Garlic","231,211,45",,3,3,True
y017,"Banana,Apple,Orange","212,397,182",,3,3,True
y018,"Banana,Apple,Orange,Garlic","212,211,182,45",,4,4,True
y019,"Apple,Orange,Garlic","211,231,87",,3,3,True
y020,"Banana,Apple,Orange,Garlic","212,211,182,87",,4,4,True
y021,Orange,49,,1,1,True
y022,Orange,49,,1,1,True
y023,Orange,49,,1,1,True
y024,Egg,59,,1,1,True
y025,Egg,117,,1,1,True
y026,"Egg,Banana","117,212",,2,2,True
y027,"Egg,Banana,Garlic","117,212,41",,3,3,True
y028,"Banana,Apple,Egg","212,186,117",,3,3,True
y029,"Banana,Egg,Orange","212,117,182",,3,3,True
y030,"Carrot,Egg","147,117",,2,2,True
y031,"Carrot,Egg,Potato","147,117,270",,3,3,True
y032,"Banana,Carrot,Egg,Potato","212,147,58,270",,4,4,True
y033,"Banana,Carrot,Egg,Potato","212,147,58,270",,4,4,True
y034,"Carrot,Egg","147,58",,2,2,True
y035,"Carrot,Egg,Garlic","147,58,41",,3,3,True
y036,"Carrot,Egg,Orange","147,58,182",,3,3,True
y037,"Carrot,Egg,Potato","147,58,270",,3,3,True
y038,"Carrot,Egg,Onion","147,58,205",,3,3,True
y039,"Carrot,Egg,Potato,Onion","147,58,270,205",,4,4,True
y040,"Carrot,Egg,Orange,Onion","147,58,182,205",,4,4,True
y041,"Apple,Carrot,Egg,Onion","211,147,58,205",,4,4,True
y042,"Apple,Carrot,Egg,Onion","211,147,58,205",,4,4,True
y043,"Apple,Carrot,Egg,Onion,Orange","211,147,58,205,49",,5,5,True
y044,"Apple,Carrot,Egg,Onion,Orange","211,147,58,205,49",,5,5,True
y045,"Apple,Carrot,Egg,Onion,Orange","211,147,58,205,231",,5,5,True
y046,"Apple,Carrot,Egg,Onion,Orange","211,147,58,205,182",,5,5,True
y047,"Apple,Carrot,Egg,Onion,Orange,Potato","211,147,58,205,182,270",,6,6,True
y048,"Banana,Apple,Carrot,Egg,Onion,Orange,Garlic","212,211,147,58,205,182,41",,7,7,True
y049,"Banana,Apple,Carrot,Egg,Onion,Orange,Garlic,Potato","212,211,147,117,205,182,87,270",,8,8,True
y050,"Banana,Apple,Carrot,Egg,Onion,Garlic","212,211,147,117,205,87",,6,6,True
y051,"Banana,Apple,Carrot,Egg,Onion,Garlic","212,211,147,117,205,87",,6,6,True
y052,Cherry Tomato,11,,1,1,True
y053,Cherry Tomato,24,,1,1,True
y054,Cherry Tomato,13,,1,1,True
y055,Cherry Tomato,49,,1,1,True
y056,Cherry Tomato,15,,1,1,True
y057,Cherry Tomato,78,,1,1,True
y058,Cherry Tomato,78,,1,1,True
y059,Cherry Tomato,78,,1,1,True
y060,Cherry Tomato,78,,1,1,True
y061,Cherry Tomato,78,,1,1,True
y062,Cherry Tomato,78,,1,1,True
y063,Cherry Tomato,78,,1,1,True
y064,Cherry Tomato,78,,1,1,True
y065,"Cherry Tomato,Pear","78,276",,2,2,True
y066,"Cherry Tomato,Pear","78,276",,2,2,True
y067,"Cherry Tomato,Pear","78,276",,2,2,True
y068,"Cherry Tomato,Pear","78,276",,2,2,True
y069,"Cherry Tomato,Pear","78,276",,2,2,True
y070,"Cherry Tomato,Pear","78,276",,2,2,True
y071,Grapes,140,,1,1,True
y072,Grapes,140,,1,1,True
y073,Grapes,140,,1,1,True
y074,Grapes,140,,1,1,True
y075,"Cherry Tomato,Grapes","71,140",,2,2,True
y076,"Cherry Tomato,Grapes","71,140",,2,2,True
y077,"Cherry Tomato,Grapes","71,140",,2,2,True
y078,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y079,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y080,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y081,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y082,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y083,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y084,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y085,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y086,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y087,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y088,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y089,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y090,"Cherry Tomato,Grapes,Blueberries","71,140,22",,3,3,True
y091,"Cherry Tomato,Grapes,Blueberries","71,140,46",,3,3,True
y092,"Cherry Tomato,Grapes,Blueberries","71,140,46",,3,3,True
y093,"Cherry Tomato,Grapes,Blueberries","71,140,46",,3,3,True
y094,"Cherry Tomato,Grapes,Blueberries","71,140,46",,3,3,True
y095,"Cherry Tomato,Grapes,Blueberries","71,140,46",,3,3,True
y096,"Cherry Tomato,Grapes,Blueberries","71,140,46",,3,3,True
y097,"Cherry Tomato,Grapes,Blueberries","71,140,46",,3,3,True
y098,"Cherry Tomato,Grapes,Blueberries","103,140,46",,3,3,True
